Episode, Steps, Reward, Time (in milliseconds)
466, 22, -2.1000000000000005, 44
467, 19, -1.8000000000000005, 73
468, 19, -1.8000000000000005, 53
469, 19, -1.8000000000000005, 41
470, 13, -1.2, 61
471, 16, -1.5000000000000002, 67
472, 18, -1.7000000000000004, 45
473, 23, -2.2000000000000006, 42
474, 17, -1.6000000000000003, 57
475, 20, -1.9000000000000006, 55
476, 13, -1.2, 58
477, 19, -1.8000000000000005, 36
478, 17, -1.6000000000000003, 60
479, 25, -2.400000000000001, 59
480, 15, -1.4000000000000001, 47
481, 21, -2.0000000000000004, 40
482, 18, -1.7000000000000004, 46
483, 15, -1.4000000000000001, 49
484, 14, -1.3, 59
485, 15, -1.4000000000000001, 39
486, 25, -2.400000000000001, 66
487, 13, -1.2, 79
488, 15, -1.4000000000000001, 41
489, 16, -1.5000000000000002, 71
490, 13, -1.2, 54
491, 16, -1.5000000000000002, 52
492, 21, -2.0000000000000004, 47
493, 25, -2.400000000000001, 65
494, 21, -2.0000000000000004, 48
495, 6, -0.5, 57
496, 21, -2.0000000000000004, 49
497, 14, -1.3, 61
498, 18, -1.7000000000000004, 47
499, 14, -1.3, 66
500, 13, -1.2, 62

Average Reward: -1.8813999999999973
Average Number of Steps: 17
Minimum Number of Steps: 5
Average Time (in milliseconds): 40
